,Class 0.0,Class 2.0,Class 1.0
0,0.016115420322196896,9.888777264649336e-12,0.11956683893947741
1,1.67631622692024e-13,0.09592685258359039,1.3106955374791415e-15
2,0.003768210603155548,3.73923307179423e-13,0.11787803807466703
3,0.009840986646353217,3.0338145540606044e-12,0.12235818462430316
4,1.95322230970414e-11,0.11192241853415692,9.291569232281973e-14
5,0.12950003265302865,1.8546981135171077e-08,0.03932216164409255
6,0.14011531322594103,7.000508388103781e-07,0.009929814699327438
7,1.811501015714455e-11,0.11188190838895108,8.678253313733107e-14
8,0.12919818618248874,1.8203073829808123e-08,0.039532834521284546
9,0.001728104922710486,7.869718674222998e-14,0.10807819470326918
10,0.14567409518088303,6.810484605004669e-08,0.026050333178294253
11,5.966584463263523e-13,0.10242168160575171,4.0464030812261185e-15
12,6.666917848867666e-09,0.08891294178027381,2.0384588213127373e-11
13,0.0010516460532736774,3.06352632378603e-14,0.10026795399034016
14,0.14711443055294465,3.5055662527298657e-07,0.013675663319637946
15,0.0487203571127969,2.2193929506146898e-10,0.09448326594493323
16,2.112365406837944e-09,0.097356661347261,6.920120351603375e-12
17,1.444100867543428e-13,0.0950909986242841,1.1486433223753502e-15
18,0.04057869479054146,1.2442482787689197e-10,0.10079243184460698
19,0.012365082901162157,5.185269120311571e-12,0.12158888462552385
20,0.0031286902265093564,2.553094663899124e-13,0.1159129832529983
21,1.7416171268030475e-18,0.02882188132349863,6.286077613824426e-20
22,1.7577506865166988e-10,0.10931802370642958,6.903197953666037e-13
23,1.4783032254172606e-11,0.11173180439971901,7.218850252613186e-14
24,0.0012322838109938609,4.124716434115956e-14,0.10284784192386782
25,0.042083252042590426,1.3923452273016156e-10,0.09961323099906662
26,0.09107491457834353,2.3954598852067337e-09,0.06459572551335198
27,0.00021492377852373403,1.820183965619933e-15,0.0730465719421881
28,8.575315868857508e-11,0.11099296617534835,3.574662302845418e-13
29,0.13037254570496334,1.9588929585239642e-08,0.03870983485492645
30,0.14944885596741633,1.5209426511660684e-07,0.019353833240518342
31,6.183733232528041e-14,0.09010710284556299,5.4308750563788345e-16
32,0.14938850328177897,1.4550229047213113e-07,0.019691594889534005
33,0.0027570040192916147,1.9769174898036266e-13,0.11442644763975533
34,2.7762041314131985e-10,0.10782765927800582,1.0513733731433462e-12
35,4.570311884881316e-06,0.028632912961981994,1.2078663456336163e-08
36,0.04307947892033462,1.4977294742087357e-10,0.0988355413381422
37,0.08963304203712329,7.23824106564828e-06,0.002606990482275615
38,0.045905102313431125,1.831102304766039e-10,0.09664417335018091
39,0.0010046418641175567,2.813341291475738e-14,0.09951184116973215
40,2.7312876759660226e-08,0.07665920371731172,7.787145722017455e-11
41,0.0008916353662231021,2.255289743604517e-14,0.09751735025921125
42,0.05366026665969812,3.059990925080897e-10,0.09074823091758276
43,3.005350341584225e-10,0.10753559306165222,1.1311452223740131e-12
44,7.355557661300184e-05,0.010893386628198073,2.216267484143946e-07
45,0.11226354120143013,7.0446159185739274e-09,0.05080730977819251
46,0.12164658327409152,1.168915516791334e-08,0.044658119221579966
47,0.13111325519348502,1.2358314013483738e-06,0.007452748916426391
48,0.0051810337372339465,0.0007347442358429345,3.0994165323912615e-05
49,9.961264338286292e-09,0.08560776066169014,2.9805249819828226e-11
